title,link,summary
Biến đổi khí hậu đang 'nuôi lớn' những siêu bão thế nào?,https://vnexpress.net/bien-doi-khi-hau-dang-nuoi-lon-nhung-sieu-bao-the-nao-4947589.html,"Nhiệt độ biển tăng kỷ lục, nước bốc hơi nhiều hơn, ""lá chắn"" bão yếu đi - tất cả đang góp phần khiến bão ngày càng dữ dội."
Biến đổi khí hậu làm dịch bệnh bùng phát nhanh hơn,https://vnexpress.net/bien-doi-khi-hau-lam-dich-benh-bung-phat-nhanh-hon-4946856.html,"Biến đổi khí hậu đang thúc đẩy sự lan rộng của nhiều bệnh truyền nhiễm, làm tăng nguy cơ dịch bùng phát khó lường và đặt y tế trước thách thức lớn."
Giới phân tích phản ứng việc ông Trump gọi biến đổi khí hậu là 'trò lừa bịp',https://vnexpress.net/gioi-phan-tich-phan-ung-viec-ong-trump-goi-bien-doi-khi-hau-la-tro-lua-bip-4944001.html,"Thống đốc bang California, một số học giả - những người đang ở nơi dễ tổn thương vì biến đổi khí hậu - nói ""thấy xấu hổ"" khi ông Trump gọi đó là ""trò lừa bịp""."
Tổng thống Trump gọi biến đổi khí hậu là 'trò lừa bịp' giữa đại hội đồng Liên Hợp Quốc,https://vnexpress.net/tong-thong-trump-goi-bien-doi-khi-hau-la-tro-lua-bip-giua-dai-hoi-dong-lien-hop-quoc-4943662.html,"Ông Trump dành gần một tiếng đồng hồ nói về biến đổi khí hậu, năng lượng tái tạo, gọi đây là “trò lừa bịp lớn nhất toàn cầu” giữa đại hội đồng Liên Hợp Quốc."
Hơn 100 USD một bát cơm cầu gai ở Nhật vì biến đổi khí hậu,https://vnexpress.net/hon-100-usd-mot-bat-com-cau-gai-o-nhat-vi-bien-doi-khi-hau-4931710.html,"Một số người Nhật sốc khi biết giá một bát cơm cầu gai ở Hokkaido đã vọt lên 100 USD, do nước biển nóng lên làm giảm sản lượng."
Ông Trump cắt gần 8 tỷ USD tài trợ các dự án năng lượng sạch,https://vnexpress.net/ong-trump-cat-gan-8-ty-usd-tai-tro-cac-du-an-nang-luong-sach-4946827.html,"Chính quyền Trump hủy 7,6 tỷ USD tài trợ cho hàng trăm dự án năng lượng sạch tại 16 bang từng ủng hộ ứng viên Kamala Harris."
Quốc gia đầu tiên phải di cư vì biến đổi khí hậu,https://vnexpress.net/quoc-gia-dau-tien-phai-di-cu-vi-bien-doi-khi-hau-4921285.html,"Nghiên cứu mới dự đoán Tuvalu có thể bị chìm trong 25 năm tới do mực nước biển dâng cao, buộc nhà chức trách phải tiến hành kế hoạch di cư dân số đến Australia."
"‘Siêu giông không thể dự báo, sẽ xuất hiện nhiều hơn do biến đổi khí hậu’",https://vnexpress.net/sieu-giong-khong-the-du-bao-se-xuat-hien-nhieu-hon-do-bien-doi-khi-hau-4916660.html,
"‘Siêu giông không thể dự báo, sẽ xuất hiện nhiều hơn do biến đổi khí hậu’",https://vnexpress.net/sieu-giong-khong-the-du-bao-se-xuat-hien-nhieu-hon-do-bien-doi-khi-hau-4924342.html,"Siêu giông có sức tàn phá với gió cấp 10, nhưng chỉ có thể cảnh báo trước tối đa 2 tiếng. Nóng lên toàn cầu sẽ khiến thời tiết cực đoan, bao gồm siêu giông xuất hiện nhiều hơn, theo TS Trương Bá Kiên."
Khủng hoảng cạn nước ở kênh đào Panama,https://vnexpress.net/khung-hoang-can-nuoc-o-kenh-dao-panama-4946790.html,"Hạn hán ngày càng phổ biến đang đe dọa hoạt động của kênh đào Panama, tuyến đường huyết mạch thương mại quan trọng phụ thuộc vào nguồn nước ngọt để di chuyển tàu giữa hai đại dương."
